"start";"dur";"textos"
65,34;1,9;"Por favor, fala a verdade Jorge!"
67,24;1,12;"Tava jogando CS..."
69,04;1,24;"Com os meus amigos na Lan House..."
70,54;0,5;"ohhhhh..."
71,14;0,78;"Desculpa..."
72,18;5,62;"Não precisava ter mentido, não tem nada de errado jogar CS, tirando que é ridículo!"
77,98;1,42;"Desculpa..."
79,42;2;"Eu só menti mesmo porque eu te amo!"
81,42;0,62;"Uhh."
83,18;3,12;"Eu também te amo!"
91,36;1,3;"E aí? Gostaram do vídeo?"
93,68;1,64;"Eu também!"
95,72;4,64;"Queria parabenizar o nosso querido diretor Fernando Meireles."
100,66;7,12;"Além é claro do elenco maravilhoso da Dani Calabresa e Paulo Gustavo."
108,4;8,6;"O roteiro é do queridão Bruno De Luca, e claro a produção incrível das meninas virgens,"
117,2;5,82;"que são a Nataly Mega, a Bianca Caetano e a Ohana Girl..."
124,2;5,68;"Sempre bom lembrar também da, da Luanne Araujo, que é uma pessoa higiênica,"
130,1;5,08;"E da... do super competente que é o Gustavo Chagas, do som."
135,4;6,9;"E sempre da fotografia incrível do Gui Machado, que nunca se relacionou com animais."
